1|Buenos días
DESTINO|Lugar al que se dirige un viaje
RETRASO|Llegada después de la hora prevista
TRANSBORDO|Cambio de un transporte a otro durante un viaje
CONSIGNA|Lugar donde se guarda temporalmente el equipaje
===2|Al levantar el telón
ACTOR|Persona que interpreta a un personaje, en masculino
ACTRIZ|Mujer que interpreta a un personaje
TELON|Cortina grande que cubre el escenario
ESCENA|Parte de una obra teatral o lugar donde se representa
BUTACA|Asiento individual de un teatro
ENSAYO|Práctica previa a una representación
GUION|Texto que recoge diálogos e indicaciones de una obra
APLAUSO|Sonido de palmas con el que se expresa aprobación
===2|Vacaciones de invierno
NIEVE|Precipitación formada por cristales de hielo
ESQUI|Tabla alargada para deslizarse sobre la nieve
TRINEO|Vehículo con patines que se desliza por nieve o hielo
CHAQUETA|Prenda de abrigo que cubre el torso
CHIMENEA|Conducto que da salida al humo de una casa
ESCARCHA|Capa de cristales de hielo que se forma sobre superficies frías
REFUGIO|Lugar que ofrece protección en la montaña
AVALANCHA|Gran masa de nieve que cae por una pendiente
===2|Herramientas de jardín
RASTRILLO|Herramienta dentada para recoger hojas o alisar tierra
PALA|Herramienta con una lámina ancha para mover tierra
MACETA|Recipiente donde se cultiva una planta
ABONO|Sustancia que aporta nutrientes al suelo
PODAR|Cortar ramas para cuidar o dar forma a una planta
MANGUERA|Tubo flexible que transporta agua
ESQUEJE|Trozo de una planta que puede enraizar para reproducirla
COMPOST|Abono obtenido al descomponer materia orgánica
===2|Sabores del horno
LEVADURA|Ingrediente que ayuda a fermentar una masa
AMASAR|Trabajar una mezcla con las manos hasta darle consistencia
RODILLO|Cilindro que sirve para extender una masa
GALLETAS|Pequeñas piezas dulces y crujientes horneadas
BIZCOCHO|Dulce de masa esponjosa hecho al horno
CORTEZA|Capa exterior más dura de una pieza de pan
MIGA|Parte blanda del interior del pan
HOJALDRE|Masa que al hornearse se separa en láminas finas
===2|La ciudad despierta
SEMAFORO|Señal luminosa que regula el paso en los cruces
ROTONDA|Intersección circular de calles o carreteras
PEATON|Persona que se desplaza a pie por una vía
TRAFICO|Circulación de vehículos por las vías
PORTAL|Entrada común de un edificio de viviendas
BALCON|Plataforma que sobresale de una fachada
QUIOSCO|Puesto pequeño de venta, habitual para prensa
FUENTE|Construcción de la que brota agua
===2|Animales del bosque
CIERVO|Mamífero cuyos machos suelen tener astas ramificadas
ZORRO|Animal de hocico afilado y cola espesa, famoso por su astucia
JABALI|Pariente salvaje del cerdo
TEJON|Mamífero de cara blanca con franjas oscuras
ERIZO|Mamífero pequeño cubierto de púas
BUHO|Ave rapaz nocturna de ojos grandes
LOBO|Cánido salvaje que aúlla
CASTOR|Roedor que construye diques con ramas
===2|De hilo en hilo
AGUJA|Pieza fina con ojo por donde se pasa el hilo
DEDAL|Protección que se pone en un dedo para coser
BOBINA|Soporte alrededor del que se enrolla hilo
COSTURA|Unión de dos telas hecha con puntadas
BOTON|Pieza que se introduce en un ojal para cerrar una prenda
CREMALLERA|Cierre formado por dos filas de dientes que se engranan
PATRON|Modelo de papel que sirve para cortar una prenda
REMENDAR|Reparar una tela rota con costura o parches
===2|Al otro lado del objetivo
CAMARA|Aparato que toma fotografías
ENFOQUE|Ajuste que permite obtener una imagen nítida
RETRATO|Imagen que representa a una persona
PAISAJE|Vista de un terreno o representación de esa vista
TRIPODE|Soporte de tres patas para una cámara
FLASH|Destello que ilumina al tomar una fotografía
LENTE|Pieza transparente que desvía los rayos de luz
ALBUM|Libro en el que se reúnen fotografías
===2|Juegos de mesa
TABLERO|Superficie sobre la que se desarrolla un juego
FICHA|Pieza que se mueve o coloca durante una partida
DADO|Objeto que se lanza para obtener un resultado al azar
BARAJA|Conjunto de cartas para jugar
DOMINO|Juego con fichas rectangulares divididas en dos partes
AJEDREZ|Juego de estrategia cuyo objetivo es dar jaque mate
TURNO|Momento en el que le corresponde jugar a una persona
REGLAS|Normas que determinan cómo se juega
===2|Preparar la excursión
MOCHILA|Bolsa que se lleva a la espalda
CANTIMPLORA|Recipiente portátil para llevar agua
LINTERNA|Aparato portátil que produce luz
BRUJULA|Instrumento que ayuda a orientarse con una aguja imantada
BOTIQUIN|Caja con material para atender pequeñas lesiones
PRISMATICOS|Instrumento óptico para observar objetos lejanos con ambos ojos
IMPERMEABLE|Prenda que protege de la lluvia
PROVISIONES|Alimentos y otros suministros para un viaje
===2|Al caer la tarde
OCASO|Puesta del sol
SOMBRA|Zona a la que no llega directamente la luz
HORIZONTE|Línea aparente donde se encuentran cielo y tierra
LUCERO|Astro que destaca por su brillo
SILUETA|Contorno de una figura que se ve a contraluz
BRISA|Viento suave
PENUMBRA|Luz débil entre la claridad y la oscuridad
CREPUSCULO|Claridad antes de salir el sol o después de ponerse
===3|En la biblioteca
CATALOGO|Relación ordenada de los fondos de una biblioteca
PRESTAMO|Cesión temporal de un libro para llevárselo a casa
SIGNATURA|Código que indica la ubicación de un documento en una colección
LOMO|Parte del libro donde se unen sus hojas
EDICION|Conjunto de ejemplares publicados a partir de una misma preparación
PROLOGO|Texto introductorio que precede a una obra
APENDICE|Sección complementaria que se añade al final de un libro
GLOSARIO|Lista de términos acompañados de su explicación
ANTOLOGIA|Selección de textos de uno o varios autores
===3|El escenario sonoro
ARPEGIO|Ejecución sucesiva de las notas de un acorde
CADENCIA|Fórmula musical que produce una sensación de reposo o cierre
DIAPASON|Utensilio metálico de dos ramas que da una nota de referencia
ESCALA|Serie ordenada de notas musicales
PENTAGRAMA|Conjunto de cinco líneas donde se escribe música
SINCOPA|Desplazamiento del acento musical hacia una parte débil del compás
UNISONO|Interpretación simultánea de la misma nota o melodía
VIBRATO|Oscilación leve y regular de la altura de un sonido
CORCHEA|Figura musical que dura la mitad de una negra
===3|Formas del terreno
MESETA|Llanura situada a cierta altitud
ISTMO|Franja de tierra que une dos territorios mayores
DELTA|Depósito de sedimentos en una desembocadura, a menudo ramificado
CABO|Porción de tierra que se adentra en el mar
GOLFO|Entrada amplia del mar en la costa
FIORDO|Entrada marina larga y estrecha excavada por un glaciar
ACANTILADO|Costa rocosa de pendiente abrupta
CORDILLERA|Conjunto enlazado de montañas
PENINSULA|Tierra rodeada de agua salvo por una zona de unión al continente
===3|Bajo el microscopio
BACTERIA|Microorganismo unicelular sin núcleo delimitado
MEMBRANA|Envoltura que separa una célula de su entorno
CITOPLASMA|Medio celular situado entre la membrana y el núcleo, cuando lo hay
NUCLEO|Compartimento que contiene los cromosomas en células eucariotas
RIBOSOMA|Estructura celular que fabrica proteínas
VACUOLA|Compartimento celular delimitado por membrana y lleno de líquido
MITOCONDRIA|Orgánulo donde tiene lugar gran parte de la respiración celular
ORGANELO|Estructura especializada del interior de una célula
MICROBIO|Ser microscópico, especialmente un microorganismo
===3|La mesa del pintor
LIENZO|Tela preparada para pintar sobre ella
PALETA|Superficie en la que un pintor mezcla los colores
PIGMENTO|Sustancia que da color a una pintura
ACUARELA|Técnica pictórica con colores diluidos en agua y un aglutinante soluble
OLEO|Pintura cuyos pigmentos se mezclan con un aceite secante
CARBONCILLO|Barra de carbón vegetal usada para dibujar
BOCETO|Estudio preliminar de una obra
CABALLETE|Soporte donde se coloca un cuadro al pintarlo
VELADURA|Capa de pintura transparente que matiza otra ya seca
===3|En el laboratorio
PROBETA|Recipiente graduado para medir volúmenes de líquidos
PIPETA|Tubo que permite medir o transferir pequeñas cantidades de líquido
MATRAZ|Recipiente de laboratorio de cuerpo ancho y cuello estrecho
BALANZA|Instrumento que compara o mide masas
REACTIVO|Sustancia empleada para producir o detectar una reacción química
DISOLVENTE|Componente de una disolución que disuelve al soluto
FILTRADO|Separación que hace pasar una mezcla a través de un material poroso
PRECIPITADO|Sólido que se forma y se separa de una disolución
DESTILAR|Separar componentes mediante evaporación y posterior condensación
===3|La conversación
EMISOR|Quien produce y envía un mensaje
RECEPTOR|Quien recibe e interpreta un mensaje
CONTEXTO|Circunstancias que rodean y ayudan a interpretar una comunicación
CODIGO|Sistema de signos compartido para transmitir mensajes
CANAL|Medio por el que se transmite un mensaje
DIALECTO|Variedad de una lengua vinculada a un territorio o grupo
ACENTO|Rasgos de pronunciación característicos de un hablante o comunidad
REGISTRO|Variedad expresiva que se adapta a una situación comunicativa
ENTONACION|Variación de la altura de la voz al hablar
===3|Pequeña astronomía
PLANETA|Cuerpo que orbita una estrella y domina su entorno orbital
ASTEROIDE|Cuerpo rocoso menor que orbita el Sol
TELESCOPIO|Instrumento que permite observar astros lejanos
EQUINOCCIO|Paso del Sol por el ecuador celeste
SOLSTICIO|Instante de máxima declinación norte o sur del Sol
ROTACION|Giro de un cuerpo alrededor de su propio eje
TRASLACION|Movimiento orbital de la Tierra alrededor del Sol
CONSTELACION|Cada región delimitada del cielo asociada a una figura estelar
HEMISFERIO|Cada mitad de una esfera dividida por un plano central
===3|Rutas de la historia
CRONOLOGIA|Ordenación de hechos según su fecha
IMPERIO|Organización política que extiende su dominio sobre varios pueblos
REPUBLICA|Forma de Estado cuya jefatura no es hereditaria
MONARQUIA|Forma de Estado que tiene un monarca como jefe
COLONIA|Territorio sometido al dominio de una potencia exterior
TRATADO|Acuerdo formal entre Estados
FRONTERA|Límite entre territorios
EXILIO|Separación forzada o voluntaria de la propia patria
CRONICA|Relato de acontecimientos siguiendo su orden temporal
===3|Geometría cercana
POLIGONO|Figura plana cerrada formada por segmentos rectos
VERTICE|Punto donde se encuentran dos lados de un polígono
DIAGONAL|Segmento que une dos vértices no consecutivos de un polígono
PERIMETRO|Longitud total del contorno de una figura
DIAMETRO|Segmento que pasa por el centro de un círculo y une dos puntos de su borde
RADIO|Distancia del centro de un círculo a su circunferencia
TANGENTE|Recta que toca una circunferencia en un solo punto
SIMETRIA|Correspondencia entre partes respecto a una transformación
BISECTRIZ|Semirrecta que divide un ángulo en dos iguales
===3|La vida del río
CAUDAL|Cantidad de agua que pasa por una sección en un tiempo dado
AFLUENTE|Río que desemboca en otro
CUENCA|Territorio cuyas aguas fluyen hacia un mismo desagüe
RIBERA|Margen de un río o lago
CAUCE|Lecho por el que corre un río
MEANDRO|Curva pronunciada en el curso de un río
ESTIAJE|Periodo en que un río presenta su caudal más bajo
ALUVION|Material que deposita una corriente de agua
TORRENTE|Corriente rápida e irregular de agua en un terreno pendiente
===3|Tras la cámara
ENCUADRE|Selección de lo que queda dentro de una imagen
MONTAJE|Organización y unión de los planos de una película
SECUENCIA|Conjunto de escenas que forma una unidad narrativa
RACCORD|Continuidad entre elementos de planos consecutivos
DOBLAJE|Sustitución de las voces originales de una película
FOTOGRAMA|Cada imagen fija que compone una película
PANORAMICA|Movimiento de la cámara que gira sobre su propio eje
TRAVELLING|Desplazamiento físico de la cámara durante una toma
METRAJE|Longitud de una película, usada también para aludir a su duración
===3|De la viña a la copa
VENDIMIA|Recolección de la uva destinada a hacer vino
MOSTO|Zumo de uva antes de fermentar
VIÑEDO|Terreno plantado de vides
CEPA|Tronco de la vid o planta de vid individual
BARRICA|Recipiente de madera empleado en la crianza del vino
TANINO|Compuesto vegetal que puede aportar astringencia al vino
FERMENTO|Agente que produce o favorece una fermentación
CORCHO|Material de la corteza del alcornoque usado en tapones
TRASIEGO|Paso del vino de un recipiente a otro para separarlo de los posos
===3|Construir con cuidado
ANDAMIO|Estructura provisional que permite trabajar en altura
MORTERO|Mezcla de un conglomerante, arena y agua usada en construcción
ENCOFRADO|Molde que contiene el hormigón fresco hasta que endurece
TABIQUE|Pared delgada que divide espacios interiores
VIGA|Elemento alargado que soporta cargas transversales
PILAR|Soporte vertical de una construcción
FORJADO|Elemento estructural que forma un piso horizontal
SOLERA|Capa de hormigón que forma una base sobre el terreno
REVOCO|Revestimiento continuo aplicado a un paramento
===3|Tejer historias
NARRADOR|Voz que cuenta una historia
TRAMA|Organización de los acontecimientos de una narración
DESENLACE|Parte final en la que se resuelve el conflicto de una historia
PERSONAJE|Ser que interviene en una obra de ficción
AMBIENTE|Entorno físico y social en el que transcurre una historia
SUSPENSE|Expectación ante un desenlace incierto
FLASHBACK|Salto narrativo a un momento anterior
MONOLOGO|Discurso de un personaje que habla sin interlocutor
EPILOGO|Parte final que añade un cierre o hechos posteriores a la historia
===4|La forma de las palabras
MORFEMA|Unidad mínima con significado gramatical o léxico
LEXEMA|Parte de una palabra que aporta su significado léxico básico
PREFIJO|Afijo que se coloca delante de una base
SUFIJO|Afijo que se coloca después de una base
ALOMORFO|Variante formal de un mismo morfema
DERIVACION|Formación de palabras mediante afijos derivativos
COMPOSICION|Formación de una palabra mediante la unión de bases léxicas
FLEXION|Variación de una palabra para expresar rasgos gramaticales
PARASINTESIS|Formación que combina simultáneamente procesos como prefijación y sufijación
ACRONIMO|Sigla que se pronuncia como una palabra
===4|Rocas que hablan
GRANITO|Roca plutónica compuesta principalmente por cuarzo, feldespatos y micas
BASALTO|Roca volcánica oscura y de grano fino
PIZARRA|Roca metamórfica que se separa fácilmente en láminas
CALIZA|Roca sedimentaria compuesta principalmente por carbonato cálcico
GNEIS|Roca metamórfica que suele presentar bandas de minerales claros y oscuros
CUARCITA|Roca metamórfica formada esencialmente por cuarzo
MAGMA|Material rocoso fundido que se encuentra en el interior terrestre
BATOLITO|Gran masa de roca plutónica formada en profundidad
DIACLASA|Fractura de una roca sin desplazamiento apreciable de sus lados
FOLIACION|Disposición planar de minerales o capas en una roca metamórfica
===4|La vida en común
ECOTONO|Zona de transición entre dos comunidades ecológicas
BIOTOPO|Medio físico que ocupa una comunidad de seres vivos
BIOCENOSIS|Conjunto de organismos que conviven en un biotopo
NICHO|Papel funcional y conjunto de condiciones de una especie en un ecosistema
ENDEMISMO|Presencia de una especie restringida a una zona geográfica
MUTUALISMO|Relación entre especies en la que ambas obtienen beneficio
COMENSALISMO|Relación en la que una especie se beneficia sin afectar apreciablemente a otra
PARASITISMO|Relación en la que un organismo vive a costa de otro y lo perjudica
SUCESION|Cambio progresivo de comunidades en un ecosistema
RESILIENCIA|Capacidad de un sistema de recuperarse tras una perturbación
===4|Energía en movimiento
INERCIA|Resistencia de un cuerpo a cambiar su estado de movimiento
MOMENTO|En mecánica, efecto de una fuerza respecto a un punto o eje
IMPULSO|Producto de una fuerza constante por el tiempo durante el que actúa
POTENCIA|Trabajo o energía transferida por unidad de tiempo
ENTROPIA|Magnitud termodinámica relacionada con la dispersión de la energía
ENTALPIA|Magnitud termodinámica igual a la energía interna más el producto presión-volumen
ISOTERMO|Proceso que transcurre a temperatura constante
ADIABATICO|Proceso en el que no se intercambia calor con el entorno
CONVECCION|Transporte de calor asociado al movimiento de un fluido
CONDUCCION|Transmisión de calor por interacción microscópica sin transporte global de materia
===4|Arte sobre papel
AGUAFUERTE|Grabado que emplea ácido para atacar una plancha metálica
LITOGRAFIA|Técnica de impresión basada en la repulsión entre agua y grasa
XILOGRAFIA|Grabado en relieve sobre madera
SERIGRAFIA|Impresión que hace pasar tinta a través de una malla preparada
BURIL|Herramienta de punta acerada empleada para grabar metal
GOFRADO|Relieve obtenido al presionar papel u otro material con un molde
ESTAMPA|Imagen obtenida al imprimir una matriz entintada
MATRIZ|Superficie preparada a partir de la cual se obtienen impresiones
PUNTASECA|Grabado directo sobre metal que deja rebabas características
AGUATINTA|Técnica de grabado al ácido que permite obtener superficies tonales
===4|Cúpulas y arcos
PECHINA|Superficie triangular curva que conecta una cúpula con apoyos inferiores
TROMPA|Bovedilla que permite pasar de una base poligonal a otra superior
ARCOBOTANTE|Arco exterior que transmite empujes a un contrafuerte
CONTRAFUERTE|Refuerzo de un muro que recibe empujes laterales
TRIFORIO|Galería situada sobre las arcadas de una iglesia
CLARISTORIO|Nivel alto de ventanas que ilumina la nave central
ABSIDE|Cabecera de una iglesia, a menudo semicircular
GIROLA|Pasillo que rodea la parte posterior del presbiterio
DOSELETE|Pequeño dosel ornamental, a menudo sobre una escultura
PINACULO|Remate arquitectónico apuntado característico del gótico
===4|Números con intención
MEDIANA|Valor central de un conjunto de datos ordenados
VARIANZA|Media de los cuadrados de las desviaciones respecto a la media
CUARTIL|Cada punto que divide los datos ordenados en cuatro partes
PERCENTIL|Punto que deja por debajo un porcentaje dado de observaciones
MUESTREO|Selección de una parte de una población para estudiarla
SESGO|Desviación sistemática que puede distorsionar una estimación
CORRELACION|Medida de asociación entre variables
REGRESION|Método estadístico que modela la relación entre una respuesta y sus predictores
ESTIMADOR|Regla que obtiene de una muestra una aproximación a un parámetro
DISPERSION|Grado en que unos datos se separan entre sí o de un valor central
===4|La composición visual
PERSPECTIVA|Representación de la profundidad en una superficie plana
ESCORZO|Representación de una figura orientada hacia el espectador y aparentemente acortada
CLAROSCURO|Uso del contraste entre luces y sombras para modelar volúmenes
SFUMATO|Difuminación suave de contornos asociada a Leonardo da Vinci
EMPASTE|Aplicación espesa de pintura que deja relieve
CONTRAPOSTO|Postura con el peso apoyado en una pierna y ejes corporales compensados
ICONOGRAFIA|Estudio e identificación de los temas representados en imágenes
TRIPTICO|Obra formada por tres paneles articulados o relacionados
RETABLO|Estructura con imágenes que se sitúa detrás de un altar
TENEBRISMO|Estilo que emplea fuertes contrastes de luz sobre fondos oscuros
===4|Viaje de las lenguas
ETIMOLOGIA|Estudio del origen y evolución histórica de las palabras
COGNADO|Palabra que comparte origen con otra de una lengua emparentada
CALCO|Traducción de los componentes de una expresión extranjera
PRESTAMO|Elemento que una lengua toma de otra
SUSTRATO|Influencia que deja una lengua desplazada sobre la que la sustituye
ADSTRATO|Influencia entre lenguas que conviven sin que una sustituya necesariamente a la otra
ISOGLOSA|Línea que delimita la extensión geográfica de un rasgo lingüístico
DIGLOSIA|Coexistencia de variedades lingüísticas con funciones sociales diferenciadas
PIDGIN|Sistema de comunicación surgido del contacto entre grupos sin lengua común
TOPONIMIA|Estudio de los nombres de lugar
===4|Cómo piensan las máquinas
COMPILADOR|Programa que traduce código fuente a otro lenguaje o representación
INTERPRETE|Programa que ejecuta instrucciones de un lenguaje sin exigir un ejecutable previo
RECURSION|Técnica en la que una función se llama a sí misma
ITERACION|Repetición de un conjunto de instrucciones
VARIABLE|Nombre asociado a un valor que puede cambiar durante la ejecución
CONSTANTE|Valor que permanece fijo en un contexto de programación
DEPURACION|Proceso de localizar y corregir errores en un programa
CONCURRENCIA|Progreso de varias tareas durante periodos de tiempo solapados
HERENCIA|Mecanismo por el que una clase adquiere características de otra
POLIMORFISMO|Capacidad de tratar distintas formas de un objeto mediante una interfaz común
===4|Herencia y variación
ALELO|Cada variante de un gen en un locus
GENOTIPO|Conjunto de variantes genéticas de un organismo
FENOTIPO|Rasgos observables resultantes de genes y ambiente
MEIOSIS|División celular que reduce a la mitad la dotación cromosómica
HAPLOIDE|Que tiene un solo juego de cromosomas
DIPLOIDE|Que tiene dos juegos de cromosomas
MUTACION|Cambio en una secuencia de material genético
CODON|Grupo de tres nucleótidos que especifica un aminoácido o una señal de terminación
INTRON|Segmento transcrito que se elimina durante la maduración del ARN
EXON|Segmento de un transcrito que permanece en el ARN maduro tras el corte y empalme
===4|Pliegues y estratos
ANTICLINAL|Pliegue con los materiales más antiguos en su núcleo
SINCLINAL|Pliegue con los materiales más recientes en su núcleo
FALLA|Fractura del terreno con desplazamiento relativo de sus bloques
HORST|Bloque elevado entre fallas
GRABEN|Bloque hundido entre fallas
DISCORDANCIA|Superficie que representa una interrupción en el registro sedimentario
BUZAMIENTO|Ángulo que forma un estrato con el plano horizontal
METAMORFISMO|Transformación de una roca por presión o temperatura sin fusión total
DIAGENESIS|Procesos que convierten un sedimento en roca sedimentaria
OROGENESIS|Conjunto de procesos que forman cordilleras
===4|El lenguaje del mapa
MERIDIANO|Semicírculo terrestre que une ambos polos
PARALELO|Círculo de la superficie terrestre perpendicular al eje de rotación
LATITUD|Distancia angular de un punto respecto al ecuador
LONGITUD|Distancia angular respecto a un meridiano de referencia
AZIMUT|Ángulo horizontal medido desde una dirección de referencia, normalmente el norte
PROYECCION|Procedimiento que representa una superficie curva sobre un plano
GEODESIA|Ciencia que estudia la forma y las dimensiones de la Tierra
BATIMETRIA|Medición y representación de las profundidades acuáticas
HIPSOMETRIA|Medición o representación de las alturas del terreno
EQUIDISTANCIA|Diferencia constante de altura entre curvas de nivel consecutivas
===4|Voces de un poema
ENDECASILABO|Verso de once sílabas métricas
HEPTASILABO|Verso de siete sílabas métricas
SINALEFA|Unión métrica de vocales de palabras contiguas
DIERESIS|Separación métrica de las vocales que forman un diptongo
SINERESIS|Unión métrica de dos vocales que normalmente forman hiato
CESURA|Pausa interna que divide un verso compuesto
HEMISTIQUIO|Cada parte de un verso compuesto separada por una cesura
ENCABALGAMIENTO|Continuación de una unidad sintáctica más allá del final del verso
ASONANCIA|Coincidencia solo de vocales desde la última vocal tónica en una rima
CONSONANCIA|Coincidencia de vocales y consonantes desde la última vocal tónica en una rima
===4|Mirar el movimiento
FOTOMETRIA|Medición de la luz teniendo en cuenta la sensibilidad visual humana
REFRACCION|Cambio de dirección de una onda al pasar a un medio con distinta velocidad
DIFRACCION|Desviación y expansión de ondas al encontrar obstáculos o aberturas
DISPERSION|Separación de colores por su distinta refracción en un medio
POLARIZACION|Organización de las direcciones de oscilación de una onda transversal
INTERFERENCIA|Superposición de ondas que refuerza o reduce su amplitud
ABERRACION|Defecto óptico que impide formar una imagen ideal
COLIMACION|Ajuste de un haz para que sus rayos sean aproximadamente paralelos
LUMINANCIA|Magnitud fotométrica que describe la luz emitida en una dirección por unidad de área proyectada
